night,rmssd,rri_ms,hr_rest,recovery_indicator,baseline_rmssd,baseline_rri
2022-03-20,65.0,999,60.1,,,
2022-03-22,73.0,1109,54.1,,,
2022-03-23,71.0,1093,54.9,4.0,69.0,1054.0
2022-03-24,58.0,1007,59.6,2.0,70.0,1067.0
2022-03-25,53.0,994,60.4,2.0,67.0,1052.0
2022-03-26,72.0,1026,58.5,3.0,67.0,1040.0
2022-03-27,47.0,960,62.5,2.0,68.0,1038.0
2022-03-28,41.0,918,65.4,2.0,65.0,1027.0
2022-03-29,77.0,1119,53.6,5.0,63.0,1013.0
2022-03-30,61.0,1040,57.7,3.0,65.0,1025.0
2022-04-01,54.0,1015,59.1,3.0,64.0,1039.0
2022-04-04,70.0,1074,55.9,5.0,63.0,1036.0
2022-04-05,78.0,1152,52.1,3.0,64.0,1040.0
2022-04-06,66.0,1079,55.6,3.0,65.0,1049.0
2022-04-07,59.0,1010,59.4,4.0,65.0,1051.0
2022-04-08,48.0,909,66.0,1.0,65.0,1048.0
2022-04-09,64.0,1043,57.5,3.0,63.0,1048.0
2022-04-11,76.0,1146,52.4,5.0,64.0,1032.0
2022-04-12,98.0,1203,49.9,4.0,64.0,1040.0
2022-04-13,67.0,1142,52.5,5.0,64.0,1046.0
2022-04-16,77.0,1101,54.5,5.0,64.0,1051.0
2022-04-19,94.0,1107,54.2,5.0,65.0,1054.0
2022-04-20,70.0,1064,56.4,4.0,63.0,1057.0
2022-04-21,92.0,1163,51.6,4.0,64.0,1058.0
2022-04-22,79.0,1161,51.7,6.0,66.0,1068.0
2022-04-23,72.0,1164,51.5,5.0,67.0,1089.0
2022-04-24,60.0,999,60.1,2.0,67.0,1097.0
2022-04-26,85.0,1154,52.0,5.0,72.0,1099.0
2022-04-27,82.0,1171,51.2,6.0,72.0,1101.0
2022-04-28,61.0,1129,53.1,4.0,73.0,1108.0
2022-04-29,74.0,1172,51.2,4.0,73.0,1109.0
2022-04-30,62.0,1025,58.5,1.0,74.0,1118.0
2022-05-01,48.0,917,65.4,1.0,73.0,1119.0
2022-05-02,71.0,1081,55.5,3.0,72.0,1113.0
2022-05-03,66.0,1125,53.3,5.0,72.0,1113.0
2022-05-04,73.0,1172,51.2,6.0,71.0,1112.0
2022-05-05,68.0,1013,59.2,2.0,72.0,1122.0
2022-05-06,64.0,1038,57.8,2.0,72.0,1117.0
2022-05-08,76.0,1099,54.6,3.0,73.0,1123.0
2022-05-09,67.0,1149,52.2,5.0,73.0,1122.0
2022-05-10,66.0,1148,52.3,5.0,73.0,1122.0
2022-05-12,62.0,1075,55.8,4.0,72.0,1118.0
2022-05-13,64.0,1118,53.7,5.0,71.0,1116.0
2022-05-14,67.0,1162,51.6,5.0,71.0,1116.0
2022-05-15,57.0,1058,56.7,1.0,71.0,1119.0
2022-05-17,80.0,1142,52.5,6.0,69.0,1116.0
2022-05-18,62.0,1106,54.2,5.0,69.0,1120.0
2022-05-19,53.0,1011,59.3,2.0,68.0,1117.0
2022-05-20,59.0,1038,57.8,1.0,67.0,1110.0
2022-05-21,87.0,1123,53.4,4.0,67.0,1107.0
2022-05-22,65.0,1074,55.9,1.0,68.0,1105.0
2022-05-23,60.0,1057,56.8,3.0,67.0,1104.0
2022-05-24,71.0,1113,53.9,5.0,66.0,1102.0
2022-05-25,68.0,1099,54.6,4.0,66.0,1097.0
2022-05-26,72.0,1062,56.5,3.0,66.0,1096.0
2022-05-27,95.0,1166,51.5,5.0,66.0,1091.0
2022-05-28,99.0,1159,51.8,4.0,65.0,1097.0
2022-05-29,73.0,1048,57.3,1.0,67.0,1100.0
2022-05-30,76.0,1162,51.6,5.0,67.0,1098.0
2022-05-31,85.0,1169,51.3,6.0,68.0,1100.0
2022-06-01,77.0,1070,56.1,4.0,68.0,1102.0
2022-06-02,63.0,1075,55.8,3.0,69.0,1102.0
2022-06-03,84.0,1097,54.7,3.0,68.0,1101.0
2022-06-04,81.0,1246,48.2,4.0,69.0,1103.0
2022-06-05,71.0,1164,51.5,4.0,69.0,1107.0
2022-06-06,84.0,1053,57.0,1.0,69.0,1108.0
2022-06-07,69.0,1128,53.2,5.0,70.0,1106.0
2022-06-08,64.0,1054,56.9,2.0,70.0,1105.0
2022-06-09,64.0,973,61.7,1.0,70.0,1103.0
2022-06-10,69.0,1048,57.3,4.0,71.0,1103.0
2022-06-11,61.0,1011,59.3,2.0,71.0,1098.0
2022-06-13,61.0,949,63.2,1.0,72.0,1093.0
2022-06-14,70.0,1130,53.1,3.0,71.0,1093.0
2022-06-15,52.0,986,60.9,2.0,71.0,1092.0
2022-06-17,55.0,940,63.8,1.0,72.0,1093.0
2022-06-18,94.0,1104,54.3,3.0,70.0,1086.0
2022-06-19,80.0,1021,58.8,4.0,70.0,1088.0
2022-06-20,61.0,1087,55.2,4.0,70.0,1086.0
2022-06-21,77.0,1062,56.5,3.0,70.0,1085.0
2022-06-22,68.0,1097,54.7,4.0,70.0,1083.0
2022-06-23,61.0,1098,54.6,4.0,70.0,1084.0
2022-06-24,64.0,1088,55.1,3.0,71.0,1082.0
2022-06-26,46.0,939,63.9,2.0,70.0,1074.0
2022-06-27,45.0,892,67.3,2.0,70.0,1074.0
2022-06-28,60.0,1000,60.0,4.0,67.0,1053.0
2022-06-29,77.0,1068,56.2,4.0,67.0,1050.0
2022-06-30,75.0,1104,54.3,4.0,68.0,1051.0
2022-07-01,70.0,1022,58.7,3.0,69.0,1052.0
2022-07-03,63.0,1063,56.4,5.0,66.0,1049.0
2022-07-04,57.0,923,65.0,1.0,66.0,1045.0
2022-07-05,53.0,824,72.8,2.0,65.0,1044.0
2022-07-06,69.0,997,60.2,5.0,64.0,1034.0
