date,start_time,duration_min,sport_id,sport_name,distance_km,calories,hr_avg,hr_max,cardio_load,muscle_load,perceived_load,recovery_time_hours
2019-04-24,2019-04-24T06:38:35,87.0,3,Walking,3.36160009765625,517,108,138,49.104,-1.0,,5.55
2019-04-27,2019-04-27T09:27:39,503.3958333333333,3,Walking,17.00230078125,2473,111,168,218.752,-1.0,,26.833333333333332
2019-05-02,2019-05-02T19:21:24,101.72083333333333,1,Running,9.1477001953125,861,126,156,91.7227,-1.0,,12.5
2019-05-05,2019-05-05T23:55:35,14.097916666666666,3,Walking,0.008100000381469727,17,60,72,0.368315,-1.0,,0.016666666666666666
2019-05-06,2019-05-06T08:45:37,44.139583333333334,3,Walking,0.1991999969482422,64,67,108,3.24892,-1.0,,0.05
2019-05-09,2019-05-09T19:50:44,65.88125,1,Running,4.1112998046875,483,116,137,42.2875,-1.0,,5.183333333333334
2019-05-13,2019-05-13T20:19:25,128.30208333333334,1,Running,9.6,1149,129,162,119.454,-1.0,,17.533333333333335
2019-05-16,2019-05-16T19:41:30,109.09583333333333,1,Running,5.5872001953125,762,113,134,66.6574,-1.0,,8.083333333333334
2019-05-20,2019-05-20T20:14:28,117.49791666666667,1,Running,9.4395,1063,130,155,113.547,-1.0,,16.55
2019-05-26,2019-05-26T08:25:38,266.25208333333336,1,Running,0.695,414,116,137,,-1.0,,1.6166666666666667
2019-05-27,2019-05-27T20:09:54,128.17916666666667,1,Running,8.440900390625,896,126,149,88.0194,-1.0,,12.15
2019-05-28,2019-05-28T23:52:37,18.229166666666668,3,Walking,0.05470000076293945,25,58,106,0.470284,-1.0,,0.016666666666666666
2019-05-30,2019-05-30T19:08:02,186.08333333333334,1,Running,10.735900390625,1175,108,149,103.884,-1.0,,12.466666666666667
2019-07-06,2019-07-06T00:27:25,15.96875,3,Walking,0.014100000381469727,23,59,113,0.557964,-1.0,,0.03333333333333333
2019-07-06,2019-07-06T10:11:44,136.90416666666667,1,Running,1.3,355,107,136,,-1.0,,1.1333333333333333
2019-07-08,2019-07-08T10:10:04,24.008333333333333,12,Swimming,0.0,29,66,83,1.41308,-1.0,,0.016666666666666666
2019-07-09,2019-07-09T09:39:16,15.78125,12,Swimming,0.0,20,67,129,1.13602,-1.0,,0.016666666666666666
2019-07-11,2019-07-11T19:03:31,141.70833333333334,1,Running,10.250400390625,1162,123,163,113.799,-1.0,,15.983333333333333
2019-07-13,2019-07-13T10:15:46,131.29375,1,Running,9.107,977,132,148,101.237,-1.0,,13.95
2019-07-15,2019-07-15T20:22:46,101.25208333333333,1,Running,7.795,912,129,155,94.2048,-1.0,,13.416666666666666
2019-07-18,2019-07-18T19:01:55,123.79166666666667,1,Running,7.9202001953125,991,120,139,89.6835,-1.0,,12.216666666666667
2019-08-01,2019-08-01T08:51:55,41.68541666666667,1,Running,3.169199951171875,369,128,157,40.2043,-1.0,,5.0
2019-08-01,2019-08-01T19:21:09,110.63541666666667,1,Running,7.50410009765625,869,120,153,81.6562,-1.0,,10.766666666666667
2019-08-26,2019-08-26T20:07:12,124.325,1,Running,9.8682998046875,1083,127,158,110.987,-1.0,,15.9
2019-08-29,2019-08-29T18:57:23,127.22083333333333,1,Running,9.126,1108,127,153,112.547,-1.0,,16.316666666666666
2019-09-07,2019-09-07T05:30:16,35.00208333333333,1,Running,5.46689990234375,422,160,182,69.5452,-1.0,,9.4
2019-09-16,2019-09-16T20:09:23,116.16666666666667,1,Running,6.65460009765625,801,121,145,77.4892,-1.0,,9.816666666666666
2019-10-05,2019-10-05T21:21:17,9.860416666666667,83,Yoga,0.0,15,67,87,0.669512,-1.0,,0.016666666666666666
2019-11-18,2019-11-18T20:23:35,104.11458333333333,1,Running,8.290900390625,1011,135,161,114.796,-1.0,,16.983333333333334
2019-12-03,2019-12-03T07:56:20,20.552083333333332,2,Cycling,0.0,215,153,211,43.0031,-1.0,,4.55
2019-12-03,2019-12-03T08:17:03,28.054166666666667,1,Running,3.255300048828125,338,157,193,66.1705,-1.0,,10.05
2019-12-17,2019-12-17T18:31:25,88.68125,83,Yoga,0.0,694,120,174,69.9151,-1.0,,8.666666666666666
2019-12-19,2019-12-19T07:39:39,72.98541666666667,15,Other indoor,0.0,564,117,148,49.3169,-1.0,,6.516666666666667
2019-12-20,2019-12-20T08:41:31,113.27291666666666,15,Other indoor,0.0,725,108,143,58.7067,-1.0,,6.866666666666666
2019-12-23,2019-12-23T08:30:50,89.27083333333333,15,Other indoor,0.0,505,116,161,45.2904,-1.0,,5.05
2019-12-30,2019-12-30T20:02:21,129.72083333333333,15,Other indoor,0.0,834,115,144,71.296,-1.0,,9.75
2020-01-02,2020-01-02T19:19:44,116.74583333333334,15,Other indoor,0.0,377,111,142,,-1.0,,3.2
2020-01-03,2020-01-03T14:39:39,107.11458333333333,15,Other indoor,0.0,619,106,172,53.0197,-1.0,,5.65
2020-01-06,2020-01-06T12:33:17,161.15416666666667,15,Other indoor,0.0,951,106,138,78.356,-1.0,,8.883333333333333
2020-01-09,2020-01-09T10:50:26,117.55625,15,Other indoor,0.0,804,111,138,67.2081,-1.0,,8.816666666666666
2020-01-14,2020-01-14T10:14:39,72.0125,15,Other indoor,0.0,578,121,150,56.4128,-1.0,,7.716666666666667
2020-01-15,2020-01-15T09:34:11,108.96875,15,Other indoor,0.0,802,114,148,67.6199,-1.0,,9.183333333333334
2020-01-16,2020-01-16T09:40:14,75.925,15,Other indoor,0.0,663,127,153,67.82,-1.0,,10.1
2020-01-21,2020-01-21T20:13:24,88.54583333333333,15,Other indoor,0.0,667,117,152,61.0602,-1.0,,8.366666666666667
2020-01-23,2020-01-23T20:26:59,79.53333333333333,15,Other indoor,0.0,619,119,155,59.3824,-1.0,,8.083333333333334
2020-01-29,2020-01-29T09:32:26,120.78125,15,Other indoor,0.0,621,104,142,51.9021,-1.0,,4.95
2020-02-03,2020-02-03T14:16:17,51.05625,12,Swimming,0.0,419,122,133,39.7737,-1.0,,5.0
2020-02-11,2020-02-11T20:11:48,113.38958333333333,15,Other indoor,0.0,697,107,136,57.1957,-1.0,,6.466666666666667
2020-02-12,2020-02-12T20:36:07,90.85833333333333,15,Other indoor,0.0,679,116,155,62.3373,-1.0,,8.233333333333333
2020-02-13,2020-02-13T10:12:16,59.422916666666666,1,Running,6.57460009765625,612,142,171,81.1931,-1.0,,10.766666666666667
2020-02-17,2020-02-17T10:03:16,129.94583333333333,15,Other indoor,0.0,708,107,141,60.4051,-1.0,,7.666666666666667
2020-02-19,2020-02-19T10:59:14,117.80833333333334,15,Other indoor,0.0,771,112,140,66.4518,-1.0,,8.433333333333334
2020-02-21,2020-02-21T06:36:40,67.08125,1,Running,7.33610009765625,653,138,165,86.9157,-1.0,,11.333333333333334
2020-02-24,2020-02-24T09:59:31,148.36666666666667,15,Other indoor,0.0,715,99,154,60.8465,-1.0,,5.466666666666667
2020-03-04,2020-03-04T21:10:52,61.96458333333333,1,Running,6.33789990234375,597,136,168,76.2482,-1.0,,9.666666666666666
2020-03-05,2020-03-05T10:43:58,91.8875,15,Other indoor,0.0,491,103,144,39.073,-1.0,,3.65
2020-03-12,2020-03-12T19:21:28,96.6125,1,Running,6.84389990234375,741,118,151,67.4325,-1.0,,8.9
2020-03-23,2020-03-23T20:26:45,84.75416666666666,83,Yoga,0.0,428,116,147,32.0704,-1.0,,2.7333333333333334
2020-03-25,2020-03-25T19:43:09,255.79583333333332,83,Yoga,0.0,497,72,135,33.5442,-1.0,,0.3333333333333333
2020-04-27,2020-04-27T19:29:29,108.24166666666666,15,Other indoor,0.0,708,109,141,55.9413,-1.0,,6.85
2020-05-02,2020-05-02T19:24:19,186.65833333333333,15,Other indoor,0.0,1186,109,135,98.9742,-1.0,,12.666666666666666
2020-05-07,2020-05-07T19:17:50,138.775,83,Yoga,0.0,985,115,154,93.4304,-1.0,,11.666666666666666
2020-05-11,2020-05-11T19:09:07,118.49375,83,Yoga,0.0,895,117,154,82.7241,-1.0,,10.65
2020-05-18,2020-05-18T18:54:13,124.50833333333334,83,Yoga,0.0,891,115,141,80.659,-1.0,,10.016666666666667
2020-05-21,2020-05-21T12:37:23,119.29791666666667,83,Yoga,0.0,926,121,157,93.1416,-1.0,,12.15
2020-05-23,2020-05-23T19:16:36,105.36875,83,Yoga,0.0,815,119,145,76.4195,-1.0,,9.9
2020-05-31,2020-05-31T10:46:53,135.91666666666666,3,Walking,6.162,973,118,155,98.1493,-1.0,,12.483333333333333
2020-06-03,2020-06-03T09:54:13,33.452083333333334,1,Running,5.4122001953125,422,160,171,68.0377,-1.0,,9.066666666666666
2020-06-04,2020-06-04T19:22:39,75.98541666666667,83,Yoga,0.0,425,120,156,39.8367,-1.0,,3.85
2020-06-06,2020-06-06T10:43:43,30.735416666666666,19,Road running,5.0942998046875,405,165,181,68.9701,-1.0,,9.9
2020-06-06,2020-06-06T19:12:55,101.22916666666667,83,Yoga,0.0,764,117,155,71.5378,-1.0,,9.083333333333334
2020-06-07,2020-06-07T08:19:15,98.58958333333334,64,Body & Mind,0.0,297,88,116,24.7611,-1.0,,0.4
2020-06-07,2020-06-07T10:39:19,33.19166666666667,3,Walking,2.054800048828125,274,123,148,26.6311,-1.0,,3.183333333333333
2020-06-10,2020-06-10T07:00:57,214.96041666666667,1,Running,16.68169921875,2041,134,168,236.366,-1.0,,51.68333333333333
2020-06-14,2020-06-14T11:01:06,173.10416666666666,3,Walking,9.3692001953125,877,102,134,74.9516,-1.0,,7.333333333333333
2020-06-15,2020-06-15T19:36:13,110.9875,83,Yoga,0.0,248,84,112,22.8032,-1.0,,0.23333333333333334
2020-06-17,2020-06-17T11:33:15,28.55625,18,Indoor cycling,0.0,196,111,148,16.4117,-1.0,,1.6333333333333333
2020-06-20,2020-06-20T19:16:36,63.458333333333336,83,Yoga,0.0,478,117,151,45.4737,-1.0,,5.433333333333334
2020-06-22,2020-06-22T10:28:51,30.0,19,Road running,4.87789990234375,330,146,159,43.6803,-1.0,,5.466666666666667
2020-06-25,2020-06-25T12:06:58,37.916666666666664,18,Indoor cycling,0.0,312,125,171,34.7235,-1.0,,4.0
2020-06-26,2020-06-26T10:17:44,30.00625,19,Road running,5.3147001953125,395,165,175,68.0297,-1.0,,9.483333333333333
2020-06-28,2020-06-28T08:23:09,55.079166666666666,83,Yoga,0.0,303,106,140,28.1251,-1.0,,2.566666666666667
2020-06-28,2020-06-28T12:09:38,92.03125,3,Walking,4.24389990234375,452,104,140,42.0829,-1.0,,4.016666666666667
2020-07-02,2020-07-02T08:02:02,30.322916666666668,1,Running,4.4572998046875,348,150,171,50.1394,-1.0,,6.033333333333333
2020-07-03,2020-07-03T18:22:50,50.00416666666667,3,Walking,3.929699951171875,379,117,127,32.2615,-1.0,,3.9
2020-07-03,2020-07-03T11:37:45,20.4625,1,Running,3.52539990234375,248,157,176,40.2077,-1.0,,4.366666666666666
2020-07-18,2020-07-18T19:06:35,105.7125,83,Yoga,0.0,516,101,125,43.6406,-1.0,,3.75
2020-07-19,2020-07-19T12:22:32,109.93541666666667,3,Walking,6.1347998046875,806,117,140,76.0307,-1.0,,9.65
2020-07-21,2020-07-21T18:13:22,108.56875,83,Yoga,0.0,638,106,133,52.2598,-1.0,,5.5
2020-07-26,2020-07-26T08:16:56,97.06666666666666,83,Yoga,0.0,336,90,122,26.8504,-1.0,,1.3333333333333333
2020-07-29,2020-07-29T13:12:21,32.55625,18,Indoor cycling,0.0,264,125,174,29.3859,-1.0,,3.466666666666667
2020-07-30,2020-07-30T12:48:56,85.28333333333333,12,Swimming,0.0,783,129,143,78.5082,-1.0,,11.2
2020-07-31,2020-07-31T13:06:00,53.02708333333333,18,Indoor cycling,0.0,426,123,171,50.446,-1.0,,5.6
2020-08-02,2020-08-02T12:16:30,56.35625,18,Indoor cycling,0.0,447,120,165,44.4093,-1.0,,5.35
2020-08-05,2020-08-05T13:41:23,92.92708333333333,18,Indoor cycling,0.0,664,112,152,55.044,-1.0,,6.633333333333334
2020-08-07,2020-08-07T14:24:04,26.058333333333334,64,Body & Mind,0.0,103,95,116,8.52752,-1.0,,0.3
2020-08-07,2020-08-07T19:07:52,56.389583333333334,18,Indoor cycling,0.0,439,123,172,52.8689,-1.0,,5.683333333333334
2020-08-08,2020-08-08T07:32:20,46.21875,18,Indoor cycling,0.0,305,110,143,26.4985,-1.0,,2.5833333333333335
2020-08-09,2020-08-09T11:01:40,142.125,3,Walking,7.0997998046875,997,112,151,92.4039,-1.0,,11.966666666666667
2020-08-13,2020-08-13T19:32:27,90.26458333333333,64,Body & Mind,0.0,427,100,134,36.4807,-1.0,,2.9833333333333334
2020-08-14,2020-08-14T13:11:02,58.78333333333333,18,Indoor cycling,0.0,472,121,155,44.9575,-1.0,,5.65
2020-08-15,2020-08-15T12:05:28,89.6,12,Swimming,0.0,859,134,154,95.6857,-1.0,,14.016666666666667
2020-08-16,2020-08-16T11:18:03,115.40416666666667,3,Walking,5.6847998046875,750,113,142,72.4636,-1.0,,8.733333333333333
2020-08-19,2020-08-19T13:59:10,42.33125,64,Body & Mind,0.0,277,111,137,24.1052,-1.0,,2.5833333333333335
2020-08-20,2020-08-20T12:27:32,30.058333333333334,19,Road running,5.30210009765625,393,164,178,67.2178,-1.0,,9.85
2020-08-21,2020-08-21T09:14:32,228.3625,19,Road running,14.231400390625,2075,131,166,240.162,-1.0,,55.63333333333333
2020-08-23,2020-08-23T07:34:03,184.50833333333333,1,Running,12.9357998046875,1597,127,161,168.477,-1.0,,27.2
2020-08-26,2020-08-26T07:48:33,186.90833333333333,1,Running,11.851400390625,1662,128,161,177.093,-1.0,,29.283333333333335
2020-08-26,2020-08-26T19:43:03,75.1,64,Body & Mind,0.0,370,101,130,31.0162,-1.0,,2.566666666666667
2020-08-28,2020-08-28T12:44:22,30.0125,19,Road running,5.1417998046875,392,164,176,67.0444,-1.0,,9.25
2020-08-29,2020-08-29T07:47:32,134.35625,19,Road running,9.424900390625,1058,120,153,101.72,-1.0,,14.033333333333333
2020-09-03,2020-09-03T14:45:45,62.83125,15,Other indoor,0.0,306,99,136,26.0075,-1.0,,2.316666666666667
2020-09-04,2020-09-04T06:41:27,178.58541666666667,38,Road cycling,0.0,1467,121,157,136.866,-1.0,,18.65
2020-09-06,2020-09-06T11:29:34,112.925,3,Walking,5.2032001953125,733,112,156,69.5631,-1.0,,8.233333333333333
2020-09-08,2020-09-08T06:53:40,193.08958333333334,2,Cycling,0.0,1454,116,176,132.662,-1.0,,17.116666666666667
2020-09-08,2020-09-08T18:05:52,41.9875,64,Body & Mind,0.0,125,87,112,9.88964,-1.0,,0.23333333333333334
2020-09-09,2020-09-09T09:21:05,89.68541666666667,1,Running,5.86310009765625,715,120,148,67.7962,-1.0,,9.0
2020-09-10,2020-09-10T07:30:38,147.07708333333332,1,Running,11.624599609375,1359,132,163,153.035,-1.0,,24.266666666666666
2020-09-11,2020-09-11T11:35:42,21.46875,83,Yoga,0.0,109,101,124,9.01481,-1.0,,0.4666666666666667
2020-09-13,2020-09-13T11:38:04,45.63333333333333,38,Road cycling,0.0,336,117,156,32.1767,-1.0,,3.6
2020-09-13,2020-09-13T14:04:20,48.6625,38,Road cycling,0.0,493,142,164,66.1742,-1.0,,8.216666666666667
2020-09-15,2020-09-15T06:40:00,231.01875,2,Cycling,0.0,1370,112,153,108.49,-1.0,,12.366666666666667
2020-09-16,2020-09-16T12:19:41,45.614583333333336,12,Swimming,0.0,400,126,139,39.6176,-1.0,,5.083333333333333
2020-09-17,2020-09-17T05:39:39,374.6125,2,Cycling,0.0,2643,111,163,218.081,-1.0,,28.933333333333334
2020-09-18,2020-09-18T10:52:07,30.235416666666666,19,Road running,5.54889990234375,379,160,180,63.0347,-1.0,,8.816666666666666
2020-09-19,2020-09-19T07:48:45,141.35625,1,Running,9.7547998046875,1049,117,161,96.8813,-1.0,,12.75
2020-09-22,2020-09-22T07:57:24,144.96041666666667,38,Road cycling,0.0,1095,115,138,93.5566,-1.0,,11.766666666666667
2020-09-22,2020-09-22T10:22:41,146.86041666666668,2,Cycling,0.0,1150,118,147,100.098,-1.0,,13.333333333333334
2020-09-23,2020-09-23T12:12:10,27.654166666666665,1,Running,1.7409000244140624,207,119,150,20.6822,-1.0,,2.2333333333333334
2020-09-24,2020-09-24T08:41:11,122.28125,38,Road cycling,2.348800048828125,890,113,164,77.105,-1.0,,9.283333333333333
2020-09-24,2020-09-24T14:54:23,11.597916666666666,38,Road cycling,2.311300048828125,26,80,91,1.8919,-1.0,,0.016666666666666666
2020-09-24,2020-09-24T15:07:01,15.070833333333333,38,Road cycling,4.1852998046875,34,80,93,2.42679,-1.0,,0.016666666666666666
2020-09-29,2020-09-29T06:02:23,167.23541666666668,38,Road cycling,29.817099609375,1257,117,162,114.868,-1.0,,14.866666666666667
2020-09-30,2020-09-30T08:47:53,101.46041666666666,1,Running,7.6512001953125,903,132,167,107.035,-1.0,,15.016666666666667
2020-10-01,2020-10-01T07:54:14,68.69583333333334,1,Running,4.67139990234375,580,127,166,64.3293,-1.0,,8.433333333333334
2020-10-02,2020-10-02T13:07:15,116.26041666666667,12,Swimming,0.0,950,121,143,90.4329,-1.0,,12.483333333333333
2020-10-04,2020-10-04T13:15:10,172.88125,1,Running,13.7722001953125,1633,134,167,196.053,-1.0,,38.15
2020-10-06,2020-10-06T05:48:48,122.05208333333333,2,Cycling,41.3143984375,974,120,174,91.2664,-1.0,,11.883333333333333
2020-10-07,2020-10-07T07:39:58,164.5375,1,Running,12.5142998046875,1400,125,155,141.954,-1.0,,21.416666666666668
2020-10-09,2020-10-09T16:58:24,29.8375,2,Cycling,0.0,224,116,142,19.4773,-1.0,,2.1166666666666667
2020-10-10,2020-10-10T16:49:07,95.275,38,Road cycling,41.81680078125,900,134,168,109.225,-1.0,,14.416666666666666
2020-10-13,2020-10-13T07:59:13,145.525,38,Road cycling,55.8098984375,1056,114,161,92.6263,-1.0,,11.683333333333334
2020-10-14,2020-10-14T17:51:13,30.24375,19,Road running,5.79960009765625,391,162,174,64.5878,-1.0,,8.016666666666667
2020-10-15,2020-10-15T07:41:13,204.06875,3,Walking,11.183900390625,1162,107,135,102.375,-1.0,,11.85
2020-10-17,2020-10-17T14:45:43,135.86458333333334,19,Road running,11.4772998046875,1248,131,158,136.135,-1.0,,20.866666666666667
2020-10-18,2020-10-18T15:01:47,124.81875,19,Road running,8.219900390625,961,120,162,99.0747,-1.0,,13.133333333333333
