night,sleep_score,continuity,efficiency,duration_score,refresh_score,solidity_score,rem_score,deep_sleep_score
2022-03-19,54.2606,10.0,34.5633,100.0,62.6304,18.1878,65.1168,60.1439
2022-03-20,60.2319,62.0,68.3895,28.1667,79.4502,68.7965,95.4494,63.451
2022-03-22,72.1521,52.0,61.0164,80.1667,82.3575,60.0055,90.7175,73.9974
2022-03-23,56.603,10.0,36.0344,100.0,70.0934,18.6781,80.6119,59.5749
2022-03-24,68.7539,46.0,45.9574,94.1667,84.2432,41.4858,87.3617,81.1246
2022-03-25,59.3391,60.0,70.2564,20.625,81.6835,70.2521,77.0154,86.3516
2022-03-26,53.9266,68.0,51.1761,14.1875,85.9676,59.0587,87.66,84.2753
2022-03-27,57.7301,73.0,65.7796,32.625,71.0406,65.5932,84.8148,57.2663
2022-03-28,82.4438,68.0,73.9366,100.0,90.835,65.1455,94.2659,87.404
2022-03-29,66.0261,50.0,58.1718,66.75,84.2553,53.3906,76.383,92.1277
2022-03-30,62.7117,42.0,43.8635,100.0,71.5592,31.9545,74.8263,68.292
2022-04-01,57.8679,28.0,39.6272,66.4583,96.5156,26.3757,94.7811,98.2502
2022-04-04,61.0759,40.0,37.4248,100.0,70.0531,29.1416,91.8761,48.2301
2022-04-05,49.854,54.0,45.5971,15.0625,79.8778,53.0324,82.8342,76.9213
2022-04-06,57.7202,10.0,37.0719,100.0,72.7349,19.524,85.7571,59.7128
2022-04-07,63.9437,48.0,46.9753,72.0,84.3155,44.9918,72.0833,96.5476
2022-04-08,52.1605,60.0,47.7903,28.1667,77.5,51.2634,84.3259,70.6742
2022-04-09,47.1163,40.0,36.1579,15.625,91.203,38.7193,98.4211,83.985
2022-04-11,68.1365,66.0,73.3151,33.7917,89.5284,76.7717,98.895,80.1618
2022-04-12,57.1011,58.0,57.3893,15.75,95.9091,58.7964,96.2238,95.5944
2022-04-13,65.4738,83.5,60.1252,68.5,72.5956,58.7084,74.2254,70.9658
2022-04-14,55.2529,56.0,67.0715,55.375,45.9745,61.3572,48.8104,43.1386
2022-04-16,66.282,88.0,77.71,20.9375,84.9444,84.07,79.8015,90.0872
2022-04-19,68.4852,58.0,56.6973,100.0,60.8495,52.5658,71.1668,50.5322
2022-04-20,59.9622,48.0,41.4453,76.9583,75.6867,38.1484,79.8751,71.4983
2022-04-21,53.7508,42.0,41.3636,76.6667,61.7792,33.1212,86.0909,37.4675
2022-04-22,77.2045,64.0,62.0513,96.7917,81.3985,61.3504,83.9726,78.8243
2022-04-23,63.4867,80.5,69.7303,16.3125,96.5257,72.9101,93.6489,99.4025
2022-04-24,63.3761,40.0,46.0714,100.0,69.2806,35.0238,76.2143,62.3469
2022-04-26,65.8325,62.0,65.6575,64.7083,73.6268,61.3858,64.9225,82.331
2022-04-27,71.1698,50.0,56.9608,100.0,73.364,50.4869,90.4044,56.3235
2022-04-28,64.0296,58.0,38.1844,88.9167,82.0948,35.3948,93.9479,70.2417
2022-04-29,60.5403,34.0,45.7277,100.0,56.5272,36.9092,47.5211,65.5332
2022-04-30,56.3828,52.0,57.6025,19.625,87.9135,59.8675,85.5205,90.3064
2022-05-01,49.2203,56.0,56.7527,13.875,62.5198,63.9176,83.0627,41.9768
2022-05-02,56.2357,52.0,51.0893,57.4167,64.1137,50.1964,44.9386,83.2889
2022-05-03,71.1871,62.0,59.624,100.0,68.3427,53.8747,64.0181,72.6672
2022-05-04,79.2351,56.0,66.515,100.0,84.0653,62.1717,94.0356,74.095
2022-05-05,60.339,79.0,69.2308,20.625,81.4462,72.7436,97.5077,65.3846
